Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
5/8/2023,285.22,8.7,34497900,7.54,1.64%,280.056844,286.71,291.42
5/9/2023,288.99,5.23,31486900,7.5,-1.99%,284.5520627,291.42,285.62
5/10/2023,290.05,6.52,36935000,7.57,1.10%,287.9143167,285.62,288.76
5/11/2023,288.96,7.04,32214900,7.51,-1.06%,288.5974323,288.76,285.69
5/12/2023,285.29,7.34,27402700,7.44,-0.83%,286.6880493,285.69,283.31
5/15/2023,285.08,8.17,29392600,7.47,2.16%,285.9182943,283.31,289.44
5/16/2023,288.41,10.38,44940500,7.65,0.90%,286.1448977,289.44,292.04
5/17/2023,295.84,7.69,43253500,7.64,3.30%,288.2608847,292.04,301.68
5/18/2023,304.1,15.08,74872500,7.87,4.97%,294.3855997,301.68,316.68
5/19/2023,315.36,6.64,47312400,7.67,-1.31%,303.4660033,316.68,312.54
5/22/2023,309.01,8.4,37200000,7.57,-0.28%,310.300476,312.54,311.66
5/23/2023,310,6.57,35625300,7.55,-1.57%,313.6260783,311.66,306.78
5/24/2023,302.1,8.01,72141900,7.86,-0.49%,310.3271483,306.78,305.28
5/25/2023,385.23,28.45,154391100,8.19,24.37%,307.9079283,305.28,379.68
5/26/2023,378.9,16.2,71439700,7.85,2.54%,330.5806477,379.68,389.34
5/30/2023,405.95,19.89,92340100,7.97,2.99%,358.0984803,389.34,400.98
5/31/2023,394.88,24.73,100258000,8,-5.68%,389.9982303,400.98,378.22
6/1/2023,384.89,17.1,63587300,7.8,5.12%,389.511719,378.22,397.57
6/2/2023,400.97,14.42,48165500,7.68,-1.11%,392.2575177,397.57,393.14
6/5/2023,389.09,8.58,39609400,7.6,-0.40%,389.64504,393.14,391.58
6/6/2023,388.3,10.12,38872900,7.59,-1.32%,394.100281,391.58,386.42
6/7/2023,389.15,21.43,51199800,7.71,-3.04%,390.38147,386.42,374.67
6/8/2023,377.24,13.59,41777200,7.62,2.76%,384.223033,374.67,385.02
6/9/2023,390.37,11.44,42722000,7.63,0.68%,382.0336917,385.02,387.62
